Name,Priority
ACC,1600.4398890642287
AIAENG,1072.0378328678319
AUBANK,1233.1800287997758
AARTIDRUGS,2273.8247187692627
ATGL,1000000
ADANITRANS,1000000
ALKYLAMINE,10076.672612434568
ALOKINDS,1000000
AMBUJACEM,1706.0694411572924
ASIANPAINT,7618.3109585217935
BASF,79422.1662778582
BEML,1228.8897678340568
BPCL,4054.2150551093496
BURGERKING,3120.126885158257
CENTRALBK,1212.018468280761
COROMANDEL,2389.1439046468736
CROMPTON,1947.710586206619
DABUR,2473.458045073582
DALBHARAT,1355.7130202376034
DEEPAKNTR,2024.6929719576513
DCAL,1082.7213669746902
DRREDDY,1299.2987740526999
EXIDEIND,1238.6749451659987
GMRINFRA,1695.0257643924017
GALAXYSURF,8210.324604269812
GODREJAGRO,5550.225709182057
GRINDWELL,8660.871913606585
GUJALKALI,1103.7517892212848
GNFC,1346.083073516781
GULFOILLUB,1295.0822728795747
HAL,1694.1520606111094
HONAUT,1021.5382924079793
JCHAC,1850.9666306592994
L&TFH,1102.1999375519677
LT,3162.800664273019
LUPIN,1781.1641651359896
MASFIN,3404.1999512
M&MFIN,1059.3045737426596
MANAPPURAM,1370.1190302112925
MINDTREE,14848.80029405402
NH,2109.250563735604
NAM-INDIA,2140.030505260248
PIDILITIND,10620.927879544923
PRSMJOHNSN,1286.5522587918717
RAIN,11507.309747427364
RCF,1657.9832297033902
SRF,1301.0564832209998
SANOFI,2550
SCI,2199.9780002208036
SUPRAJIT,5577.092670925284
SYNGENE,4928.0580509058145
TATACHEM,3898.9955111711656
TATACONSUM,44398.83258310274
TATAMOTORS,1691.5687294616835
UCOBANK,43105261.77656382
UTIAMC,7770.3159928548785
UJJIVAN,1149.5391843320704
VMART,2800.050049
VSTIND,6347.888828081618
VARROC,1000000
