Company,Industry,Symbol,Range,Camarilla H4,Camarilla L4,Day High,Day Low,Day Close,Central Pivot,BC,TC
3M India Ltd.,CONSUMER GOODS,3MINDIA,485.099609375,25327.25400390625,24793.64443359375,25485,24999.900390625,25060.44921875,25181.783203125,25242.4501953125,25121.1162109375
ABB India Ltd.,INDUSTRIAL MANUFACTURING,ABB,44.6500244140625,1853.6075622558594,1804.4925354003906,1839.9000244140625,1795.25,1829.050048828125,1821.4000244140625,1817.5750122070312,1825.2250366210938
ABB Power Products and Systems India Ltd.,INDUSTRIAL MANUFACTURING,POWERINDIA,37.699951171875,1838.8849975585938,1797.4150512695312,1838.449951171875,1800.75,1818.1500244140625,1819.1166585286458,1819.5999755859375,1818.633341471354
ACC Ltd.,CEMENT & CEMENT PRODUCTS,ACC,19,2051.6000244140623,2030.7000244140625,2047,2028,2041.1500244140625,2038.7166748046875,2037.5,2039.933349609375
AIA Engineering Ltd.,INDUSTRIAL MANUFACTURING,AIAENG,78.75,2164.3125,2077.6875,2134,2055.25,2121,2103.4166666666665,2094.625,2112.208333333333
APL Apollo Tubes Ltd.,METALS,APLAPOLLO,25,1632.550048828125,1605.050048828125,1635,1610,1618.800048828125,1621.2666829427083,1622.5,1620.0333658854165
AU Small Finance Bank Ltd.,FINANCIAL SERVICES,AUBANK,24.04998779296875,1043.2274932861328,1016.7725067138672,1040.25,1016.2000122070312,1030,1028.816670735677,1028.2250061035156,1029.4083353678384
Aarti Drugs Ltd.,PHARMA,AARTIDRUGS,10.85003662109375,713.367544555664,701.432504272461,714.9500122070312,704.0999755859375,707.4000244140625,708.8166707356771,709.5249938964844,708.1083475748699
Aarti Industries Ltd.,CHEMICALS,AARTIIND,29.95001220703125,875.522494506836,842.5774810791015,875,845.0499877929688,859.0499877929688,859.6999918619791,860.0249938964844,859.3749898274739
Aavas Financiers Ltd.,FINANCIAL SERVICES,AAVAS,55.949951171875,2554.1723754882814,2492.6274291992186,2559.75,2503.800048828125,2523.39990234375,2528.9833170572915,2531.7750244140625,2526.1916097005205
Abbott India Ltd.,PHARMA,ABBOTINDIA,217.2998046875,16590.915283203125,16351.885498046875,16572.349609375,16355.0498046875,16471.400390625,16466.2666015625,16463.69970703125,16468.83349609375
Adani Enterprises Ltd.,METALS,ADANIENT,31,1536.499951171875,1502.399951171875,1532,1501,1519.449951171875,1517.4833170572917,1516.5,1518.4666341145835
Adani Green Energy Ltd.,POWER,ADANIGREEN,80,1211.25,1123.25,1170,1090,1167.25,1142.4166666666667,1130,1154.8333333333335
Adani Ports and Special Economic Zone Ltd.,SERVICES,ADANIPORTS,12.45001220703125,717.647494506836,703.9524810791015,718.9500122070312,706.5,710.7999877929688,712.0833333333334,712.7250061035156,711.4416605631511
Adani Total Gas Ltd.,OIL & GAS,ATGL,0,1189.4000244140625,1189.4000244140625,1189.4000244140625,1189.4000244140625,1189.4000244140625,1189.4000244140625,1189.4000244140625,1189.4000244140625
Adani Transmission Ltd.,POWER,ADANITRANS,35.0999755859375,1212.205010986328,1173.595037841797,1228,1192.9000244140625,1192.9000244140625,1204.6000162760417,1210.4500122070312,1198.7500203450522
Aditya Birla Capital Ltd.,FINANCIAL SERVICES,ABCAPITAL,1.6999969482421875,119.9349983215332,118.0650016784668,120.3499984741211,118.6500015258789,119,119.33333333333333,119.5,119.16666666666666
Aditya Birla Fashion and Retail Ltd.,CONSUMER SERVICES,ABFRL,15,231.0500030517578,214.5500030517578,223.5,208.5,222.8000030517578,218.26666768391928,216,220.53333536783856
Advanced Enzyme Tech Ltd.,CONSUMER GOODS,ADVENZYMES,25.800018310546875,423.39002227783203,395.01000213623047,431.45001220703125,405.6499938964844,409.20001220703125,415.43333943684894,418.5500030517578,412.31667582194007
Aegis Logistics Ltd.,SERVICES,AEGISCHEM,25,375.25,347.75,366,341,361.5,356.1666666666667,353.5,358.83333333333337
Affle (India) Ltd.,IT,AFFLE,115.39990234375,4662.469946289062,4535.530053710938,4685,4569.60009765625,4599,4617.86669921875,4627.300048828125,4608.433349609375
Ajanta Pharmaceuticals Ltd.,PHARMA,AJANTPHARM,37.5499267578125,1972.6024108886718,1931.2974914550782,1980.5999755859375,1943.050048828125,1951.949951171875,1958.5333251953125,1961.8250122070312,1955.2416381835938
Akzo Nobel India Ltd.,CONSUMER GOODS,AKZOINDIA,61,2344.19990234375,2277.09990234375,2355,2294,2310.64990234375,2319.88330078125,2324.5,2315.2666015625
Alembic Ltd.,PHARMA,ALEMBICLTD,2.8000030517578125,129.09000473022462,126.01000137329102,129.35000610351562,126.55000305175781,127.55000305175781,127.81667073567708,127.95000457763672,127.68333689371744
Alembic Pharmaceuticals Ltd.,PHARMA,APLLTD,20.89996337890625,992.6949920654297,969.7050323486328,992.3499755859375,971.4500122070312,981.2000122070312,981.6666666666666,981.8999938964844,981.4333394368489
Alkem Laboratories Ltd.,PHARMA,ALKEM,58.75,3174.362548828125,3109.737548828125,3148.75,3090,3142.050048828125,3126.933349609375,3119.375,3134.49169921875
Alkyl Amines Chemicals Ltd.,CHEMICALS,ALKYLAMINE,146.900146484375,3686.7950805664063,3525.2049194335937,3678.300048828125,3531.39990234375,3606,3605.2333170572915,3604.8499755859375,3605.6166585286455
Alok Industries Ltd.,TEXTILES,ALOKINDS,1.3999996185302734,26.76999979019165,25.23000020980835,27.299999237060547,25.899999618530273,26,26.399999618530273,26.59999942779541,26.199999809265137
Amara Raja Batteries Ltd.,AUTOMOBILE,AMARAJABAT,7.9000244140625,749.5950134277343,740.9049865722657,747.25,739.3499755859375,745.25,743.9499918619791,743.2999877929688,744.5999959309895
Amber Enterprises India Ltd.,CONSUMER GOODS,AMBER,121.949951171875,2998.072473144531,2863.927526855469,3029,2907.050048828125,2931,2955.683349609375,2968.0250244140625,2943.3416748046875
Ambuja Cements Ltd.,CEMENT & CEMENT PRODUCTS,AMBUJACEM,4.20001220703125,350.35999450683596,345.73998107910154,349.3500061035156,345.1499938964844,348.04998779296875,347.51666259765625,347.25,347.7833251953125
Angel Broking Ltd.,FINANCIAL SERVICES,ANGELBRKG,29.9000244140625,818.4450134277344,785.5549865722656,822.9500122070312,793.0499877929688,802,806,808,804
Apollo Hospitals Enterprise Ltd.,HEALTHCARE SERVICES,APOLLOHOSP,229.449951171875,3556.197473144531,3303.802526855469,3464.800048828125,3235.35009765625,3430,3376.7167154947915,3350.0750732421875,3403.3583577473955
Apollo Tyres Ltd.,AUTOMOBILE,APOLLOTYRE,5.100006103515625,223.70499725341796,218.0949905395508,224.35000610351562,219.25,220.89999389648438,221.5,221.8000030517578,221.1999969482422
Asahi India Glass Ltd.,AUTOMOBILE,ASAHIINDIA,6,322.15000610351564,315.5500061035156,324,318,318.8500061035156,320.28333536783856,321,319.5666707356771
Ashok Leyland Ltd.,AUTOMOBILE,ASHOKLEY,7.399993896484375,127.46999816894531,119.3300048828125,129.39999389648438,122,123.4000015258789,124.93333180745442,125.69999694824219,124.16666666666666
Ashoka Buildcon Ltd.,CONSTRUCTION,ASHOKA,4.099998474121094,106.65500068664551,102.1450023651123,107.4000015258789,103.30000305175781,104.4000015258789,105.03333536783855,105.35000228881836,104.71666844685873
Asian Paints Ltd.,CONSUMER GOODS,ASIANPAINT,67.949951171875,3044.2723754882813,2969.5274291992187,3052.949951171875,2985,3006.89990234375,3014.949951171875,3018.9749755859375,3010.9249267578125
